symbol,qty,avg_cost
__CASH__,10000,0
SPY,5,0
QQQ,5,0
VTI,5,0
VOO,5,0
IWM,5,0
DIA,5,0
AAPL,5,0
MSFT,5,0
AMZN,5,0
GOOGL,5,0
META,5,0
TSLA,5,0
NFLX,5,0
NVDA,5,0
AMD,5,0
AVGO,5,0
TSM,5,0
MU,5,0
CRUS,5,0
ASML,5,0
PLTR,5,0
SNOW,5,0
TTWO,5,0
DE,5,0
SOFI,5,0
FSLR,5,0
ZS,5,0
NET,5,0
MDB,5,0
SHOP,5,0
CRWD,5,0
SQ,5,0
PYPL,5,0
NU,5,0
ADBE,5,0
CRM,5,0
PANW,5,0
OKTA,5,0
DDOG,5,0
ESTC,5,0
ENPH,5,0
SEDG,5,0
RUN,5,0
NEE,5,0
CAT,5,0
GE,5,0
HON,5,0
LMT,5,0
RTX,5,0
ARCC,5,0
MAIN,5,0
HD,5,0
JNJ,5,0
PG,5,0
QBTS,5,0
QUBT,5,0
RGTI,5,0
RKLB,5,0
ASTS,5,0
DNA,5,0
NVTS,5,0
IONQ,5,0
